,Rating
0,"There's a certain breed of actor that thrives on character roles and rarely gets the opportunity to excel as a leading player. Among my favorites are Dennis Hopper, Bruce Dern and this film's principal player, Harry Dean Stanton. Hopper's most acclaimed role was probably that of the alcoholic, assistant basketball coach in ""Hoosiers""; Bruce Dern similarly turned in an Oscar nominated performance as a booze-addled old man on the trail of cashing in a million dollar sweepstakes ticket in ""Nebraska"". For Stanton, it's this film that will serve well as part of his legacy in a long and distinguished career. Interestingly, among all three actors I've watched dozens of TV and movie Westerns in which one or the other have appeared, usually as villains, and always acquitting themselves well before the end credits rolled.Stanton's character here begins as a mystery, wandering out of a desert in a fevered daze, and transformed into a mute for a good part of the movie until his past is slowly reawakened with the help of his brother (Dean Stockwell). Impatient viewers will have a problem with the pace of the movie because not much happens in the early going, and repeated attempts by Walt Henderson (Stockwell) to bring brother Travis (Stanton) out of his shell are unsuccessful. Through gradual exposition, we learn that Travis's past included a marriage and a young son, now being raised by Walt and his wife Anne (Aurore Clément). Where I have a little difficulty is the comparative ease in which Travis reestablishes a connection with seven year old son Hunter (Hunter Carson), and consequently, how easy it was for Hunter to decide that he wanted to traipse off with his biological father in a dubious search for his missing mother. Even more puzzling was the manner in which Travis and Hunter managed to track down Jane Henderson (Nastassja Kinski), happening to be in the right place at the right time to observe the woman making a bank deposit at a drive-in window. That sequence and the one that followed with Travis and Hunter giving chase seemed rather slapdash in execution, particularly since neither one of them had seen Jane in over four years, and the instant recognition (by Hunter no less) defied credibility in my estimation. What raises the bar for the film however occurs after Travis identifies his former wife as a peep show call girl, and anonymously identifies himself by virtue of relating their past history together to Jane, who initially identifies with his story in the abstract, but eventually realizes that she's speaking to Travis when details of the conversation can only relate to her own past life. The twist of the story meanwhile, is not one the viewer anticipates, as Travis doesn't desire to reconnect with Jane as a couple, but to satisfy a desire to reunite mother and son. Again, perhaps a dubious reconciliation given the circumstances of the family's break-up, but satisfying enough when we see the look of contented fulfillment on the face of Travis as he rides off after completing his mission. I can't say I really understand the entire dynamic of the family drama at the center of the story, but the picture makes a fascinating character study out of Travis and his search for reconciliation, even if he was working from a cold deck."
1,"I thoroughly enjoyed a majority of this movie. As the others stated, it's beautifully done, and the acting is superb. I enjoy ""road"" movies and slowly uncovering the pieces of this man's life as he goes through the journey of Texas and California. I mean the ""amnesia"" is not believable, but I'll set that aside. I liked the stark contrast between Travis and his brother. One, an irresponsible, selfish drifter-type, the other a responsible, caring man. And I thought the kid's acting was believable - the way Hunter processed the new idea of having his biological father in his life and potentially meeting his biological mother.However, I have a problem with the third act. At the end of the movie, it felt like the director wanted the audience to feel relieved and content that Hunter was reunited with his mother. And that we should empathize with Travis driving off into the distance, as he had fulfilled his duty. But I feel exactly the opposite. This is an unsettling ending.Neither of these people are fit to be parents or make life-altering decisions for anyone. They both need years of therapy before being left to their own devices. Some of the other commenters mentioned she was not emotionally stable to be a mother. Although true, I think they're slightly missing the point. Travis emotionally and physically abused this woman! Tied her to the stove?! Of course she needs some help recovering before this kid gets thrust upon her. And there's a couple of sick societal norms being thrust upon us here - that this woman would be quick to jump to being a mom to this kid. That the maternal instinct is just going to pop into place! And then, that it's acceptable that the father is no longer in the picture because he's going to go find himself or something. No, Travis is an immature excuse of a human being and this decision is garbage.Poor Hunter, ripped away from a stable home. I use the word stable because they seem to be emotionally, financially, and physically well-adjusted enough to raise a healthy kid. Not because they're a married couple with a house. Anyway, poor Hunter is in for a treat, all because his father needed to soothe his own conscience.And we're supposed to agree to this? Not me. However, with that being said, I still enjoyed this movie overall."
2,"I would say that Paris, Texas is not for everyone, but, truly, that can be said about every movie. But I will say this: fans of methodically paced, beautifully shot, existentially rooted, and purely experiential cinema will not be disappointed.Paris, Texas is virtually my favorite movie, and a movie that, whether you like it or not, will leave some impact on you. It is a journey, an experience, an odyssey.Yes, it is long. Yes, it is slow. Defined plot points? Please.But what this movie does do is place into the mind of it's lead character. Travis Henderson, an older man, gruff and worn out with age, wanders out of the Texas desert after missing from his family for four years. He is mute, and apparently unaware of who he is. His brother Walt finds him, and tries to rehabilitate him back into sanity. The film then covers Travis's journey to reconnect with a past which he has long since forgotten. He reunites with his son, his sister in-law, and eventually, in a scene which I tear up just thinking about, his wife.But that is all I will divulge about his wife. That is a scene which you really have to see to believe.While this film really doesn't rely on plot, it does have structure and tone. And what carries us through this mystical story is the unbelievably beautiful photography. We see the world as it should be seen: a starkly beautiful, but uncompromising, place. The use of color and motifs really makes this film a marvel to look at.And then we get to performances. Everyone's great, so I will focus on our two truly main characters. Harry Dean Stanton plays Travis, a gentle, kind man, that, despite having personal demons, is a great fatherly figure (fine, maybe he isn't the best father...but there's no denying he left an impact on his son's life). And seeing Stanton bring this character to life in the most subtle and somber way possible is amazing. And then we have Natassja Kinski, who plays Jane, his wife. She doesn't show up until the third act, and 95% percent of her performance takes place in one room. But Kinski's portrayal of emotion...and her quiet, yet powerful demeanor...and the way she talks...god, it's unbelievable. Stanton and Kinski have some of the best chemistry ever, which is even more impressive considering they're never in the same room (see the movie...you'll understand). In the end, these two carry the movie on their backs, and do an amazing job doing it.You may not cry, but you will think about crying. You will think about all the sad moments in your life. And it will all be washed out of you by movie's end. Believe me, I know this from personal experience. This movie is almost therapeutic in the way. Because the story is healing our own souls at the same time as it is healing Travis's.So. What's more to say about Paris, Texas? It's a beautiful movie, one that relies on photography and performances to tell it's story, and a movie that portrays emotions on a master class level. And what do I mean by 'Anti-Romance'? It's not worth explaining here. See the movie, you'll understand."
3,"I first saw this film almost fifteen years ago and thought about almost nothing else for at least a month.  I have never seen a film before or since that presents the extremes of love, pain, and loss with such immediacy and ruthless candor.  Watching this film with openness, identifying with the characters, made me wince and writhe in sympathetic agony.  I didn't cry; rather, I was reminded of all the times I have wept in my life, and why.Perhaps each person person has a film -- usually a masterpiece -- which affects him or her so strongly that it is beyond description.  This is mine."
4,"Directed by cinematic lyricist Wim Wenders, ""Paris, Texas"" is a slow-burning masterpiece. Marked at first by stark, beautiful photography of the American Southwest, later by memorable dialogue and conversational intercourse, and lastly by sublime and emotionally involving character development, the film transcends the idea of an atmospheric mood piece to deliver an engrossing meditation on loneliness, alienation, family, and redemption.Character actor Harry Dean Stanton is fantastic in the lead role of Travis -- a man who had fallen into an emotional black hole and is then reunited with his brother (Dean Stockwell), who has been raising Travis' young son, Hunter (Hunter Carson), in an idyllic and loving suburban landscape with his foreign wife, Ann (Aurore Clement). As Travis slowly begins to grapple with his past and bond with his son, he soon realizes he must find his long, lost wife, Jane (an excellent and understated Nastassja Kinksi), whom he still deeply loves on some level, and abandoned their son years ago shortly after Travis went off the deep end.This all could've been the plot of Lifetime TV movie, but the European filmmaker's perspective on an all American slice of melodrama adds an undercurrent of intrigue in that you never know what these characters are going to do next. We soon find Travis practically abducting his son (who eagerly plays along) from his happy new family life to go on a trek to Houston to find Jane.The closing in scene in a Houston hotel where son and mother are reunited is one of the most fascinatingly rich scenes ever put on screen. Rarely does any one scene work to engage a viewer on so many levels: Firstly: There is a complex psychological framework that is set into place in the scenes prior between Stanton and Kinski in the peep show booth where she now works which are two of the most expertly photographed and brilliantly acted scenes I've ever witnessed. Travis has confessed all to his lost love, Jane, and she is clearly in dire straits. His attempt to reunite her with their son is both selfish (in that it is clearly not in the child's best interest to be raised by his emotionally troubled mother when he has loving foster parents waiting for him back home) and selfless, in that he truly feels his only way to repair the damage he has done is to leave after getting mother and son back together.Secondly: It is beautifully acted with Kinski's ghost-like entrance and young Hunter Carson's trepidation. Witness his hand slide across the wall looking for something to grip, and then his hands running through his hair before he finally decides to embrace her.Thirdly: It is exquisitely photographed. Earlier we see scenes of stark isolation as the child waits in the hotel room. Sofia Coppola later used a similar photographic technique in ""Lost in Translation"" to show how being alone in a big city and looking down from an anonymous hotel room window can be one of the loneliest things in the world.The final scene is both beautiful and emotional, and at the same time makes the viewer wonder, how will this all end? Yes, it is wonderful to see the child and mother reunite, but their new life could easily turn into an emotional hell because of the now absent Travis' misguided attempt at his own redemption.A film working on so many levels like this is best summed up in its own dialogue. In one scene where Travis is drunk and telling his son some family history, he essentially says that his father was more in love with an ""idea of her"" than with his actual mother. This is a fantastic movie for people more in love with the romantic ""idea of movies"" and their potential power as an art form than with any one movie in particular. As such, this ranks among the best I have ever seen."
5,"We live in times when many people think they can have their cake and eat it as well. And this is nowhere more true, it seems to me, than when there are children involved.Travis and Jane had a bad marriage. It was mostly his fault, but in truth they both showed signs of instability. When the big blow-up came, the shrapnel scattered far and wide. One such piece was in the form of their 4-year-old son, Hunter.Now, Hunter was lucky. Unlike his parents, who disappeared into obscurity, he ended up as the ""foster-child"" of Travis's brother and his wife. They were stable, happily married, and gave him a loving home. He was as content as a boy could be under the circumstances.Uh-oh, don't count your chickens, Hunter. Four years later, out of the festering sands of the Mojave desert and looking like some sort of moulting lizard, emerges Travis. He is heading for some obscure destination  possibly his dusty plot at Paris, Texas, where he might have been considering spending the rest of his life growing tree tomatoes, or anything else far removed from the responsibilities of parenthood. Instead, he encounters civilisation, which contacts his brother. Somewhat against his will, Travis is reunited with the son whom he abandoned.Now, to give him his credit, Travis is a man who realises that he has made some serious mistakes. Had the rest of the movie been about how he confronted those mistakes and actually did something about them and then won back his son's love bit by bit I'd have given it 10 out of 10. The final shot could have been that touching scene when Hunter stops and Travis crosses the road and they go up the hill together. Fade out.But, no. Instead of doing that, he decides to atone for his mistakes by taking his now 7-year-old son away from his happy and stable new home, on a journey down to Houston to find his mother. Hunter is to be sacrificed for the sake of Travis's conscience.In spite of discovering that Jane is unmarried and working as a nightclub hostess (you could say, a prostitute), he leaves the boy with her and runs off. No doubt he is heading for that arid patch at Paris, Texas once again. Except this time he probably thinks he has at long last done something good in his life.I can't agree. One of the worst exhibitions of parental irresponsibility I have ever seen in a movie is when Travis gets his son to phone his foster parents to tell them he has left home. This, of course, is after putting them to a lot of needless worry wondering where he was.Poor Hunter. How long before she quits on him again? Or hits the bottle? Or, before he gets abused by one of her clients? Oh, but the music's great. And the acting. And Texas."
6,"This film is a classic in my opinion.  The story is very strongly influenced by its writer's, Sam Shepard, exploration of the human condition.  The film is not for everyone.  Wim Wenders paces the storyline accordingly to the psyche and struggle of the main character, and the concept of searching for answers to his natural state of mind by returning to the place of his conception is a well thought out and intriguing premise for this film.I have seen this film more than seven times, and love the slow pace because it allows me to be drawn into that world completely and really have the chance to get to know each character.  Recommended to anyone with an interest in psychology, cinematography, Sam Shepard's style of story-telling, and movies that walk to their own beat.  Natascha Kinski and Stanton are excellent.I give it 8 stars (9 if they would release it letterboxed on DVD)"
7,"Moody, slow, absorbing, you lose yourself in this 'love lost' and in many ways tragic story. This film was probably an early warning to us all of how life can easily overwhelm without us realising it. It is also virtually unique in the successful portrayal of a man who is deeply lost in his innermost thoughts that the outside world becomes almost a minutiae. Mr Stanton encapsulates this mood perfectly and this is probably his best performance ever. The most moving scene (and there are many) might be when he reviews some old cine film of his life (a normal happy love story which surely could not have gone wrong so badly)before he walked away from it all. I can't help but think this is a real life epistle which could be a marker for how life has overtaken the human race in the last 20 years."
8,"Also my second favourite film of 1984 after Amadeus. Paris, Texas is just wonderful. The movie looks beautiful, the scenery is stunning and the cinematography and editing are just textbook examples of how to photograph and edit a movie. There is also a haunting guitar score that adds to the emotion of this film, and a deeply moving and affecting story complete with a heart-rending confrontation. The pace is deliberately mannered, but that is not a bad thing at all, if anything it is a strength, and the script is beautifully written. The direction is also superb, while the film sees a rare leading role for Harry Dean Stanton and he is just a joy in this movie. In conclusion, Paris, Texas is a must-see, and I honestly think it is one of the best of its decade. 10/10 Bethany Cox"
9,"Travis Henderson (Harry Dean Stanton) walks out of the South Texas desert in an almost catatonic state wearing a dusty suit and tie. A doctor finds and calls his brother Walt Henderson (Dean Stockwell) in L.A. who comes out to reunite with him after 4 years absence. Travis is fixated on going to Paris, Texas. One day, he and his wife Jane (Nastassja Kinski) disappeared and had left behind his son Hunter. Walt and his wife Anne (Aurore Clément) took Hunter in.Harry Dean Stanton and Dean Stockwell drive the film forward as it teases what this eventually is going. It's like walking in the desert with Travis. It is fascinating but one must surrender to it. The kid is quite good. The movie does turn into something even more compelling with Nastassja Kinski. However it is a long road to get there."
